name,location,given_by,dialogue,requirements,objectives,rewards,previous,leads_to
Hell on Earth - Part 1,,Prapor,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Modify an MP-43-1C shotgun to comply with the given specifications,"+2,300 EXP | Prapor Rep +0.01 | 35,700 Roubles 37,485 Roubles with Intelligence Center Level 1 41,055 Roubles with Intelligence Center Level 2 | 2× NPP KlASS Kora-Kulon body armor (EMR)",The Good Times - Part 1,Hell on Earth - Part 2
Hell on Earth - Part 2,,Prapor,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Eliminate 3 hooded men while using the double barrel shotgun,"+16,000 EXP | Prapor Rep +0.03 | 324,000 Roubles 340,200 Roubles with Intelligence Center Level 1 372,600 Roubles with Intelligence Center Level 2 | 3× VOG-25 Khattabka improvised hand grenade | 3× RGN hand grenade | 3× RGO hand grenade",Hell on Earth - Part 1,
The Good Times - Part 1,Factory,Prapor,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game. | Must be level 27 to start this quest.","Eliminate 10 PMC operatives while using Colt M4A1 or M16, 6B43 body armor , and Kiver-M helmet on Factory","+76,000 EXP | Prapor Rep +0.03 | 256,000 Roubles 268,800 Roubles with Intelligence Center Level 1 294,400 Roubles with Intelligence Center Level 2 | 1× Springfield Armory M1A 7.62x51 rifle (variant 2k18 NY) | 2× M1A 7.62x51 20-round magazine | 3× 7.62x51mm M62 Tracer ammo pack (20 pcs)",Shooting Cans,Quality Standard | Hell on Earth - Part 1
The Good Times - Part 2,,Prapor,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Eliminate any 10 targets while using the golden TT-33 pistol,"+62,400 EXP | Prapor Rep +0.03 | 226,000 Roubles 237,300 Roubles with Intelligence Center Level 1 259,900 Roubles with Intelligence Center Level 2 | 2× Ammunition case",Airmail,Minute of Fame
Viewer,"Woods , Shoreline , Factory",Prapor,,"This quest is only available to buyers of the ""Edge of Darkness"" edition of the game.",Install a WI-FI Camera on the mountain ledge on Woods | Install a WI-FI Camera at the pier tower on Shoreline | Install a WI-FI Camera at the office corridor on Factory,"74,000 EXP | Prapor Rep +0.02 | 172,000 Roubles 180,600 Roubles with Intelligence Center Level 1 197,800 Roubles with Intelligence Center Level 2 | 5× Bottle of Pevko Light beer | 5× Bottle of Tarkovskaya vodka",Minute of Fame,Serious Allegations
Possessor,Factory,Prapor,,,Locate and obtain the helicopter logbook on Factory | Hand over the found information,"+7,300 EXP | Prapor Rep +0.02 | 47,000 Roubles 49,350 Roubles with Intelligence Center Level 1 54,050 Roubles with Intelligence Center Level 2 | 1× Metal fuel tank",Postman Pat - Part 1,
Special Comms,"Woods , Reserve",Prapor,,,Stash a Military cable at the boulder next to RUAF gate on Woods | Stash a Bulbex cable cutter at the boulder next to RUAF gate on Woods | Use the transit from Woods to Reserve | Stash a Military cable at the sandbags next to LAV III above the storage warehouse on Reserve | Stash a Bulbex cable cutter at the sandbags next to LAV III above the storage warehouse on Reserve,"+12,800 EXP | Mechanic Rep +0.02 | 32,000 Roubles 33,600 Roubles with Intelligence Center Level 1 38,800 Roubles with Intelligence Center Level 2 | 1× Lobaev Arms DVL-10 7.62x51 bolt-action sniper rifle (variant Urbana) | 3× DVL-10 7.62x51 10-round magazine | 3× 7.62x51mm BCP FMJ ammo pack (20 pcs)",Documents,
Belka and Strelka,Customs,Prapor,,,Survive and extract from Customs through Railroad Passage,"+8,200 EXP | Prapor Rep +0.01 | 44,000 Roubles 46,200 Roubles with Intelligence Center Level 1 50,600 Roubles with Intelligence Center Level 2 | 5× RGD-5 hand grenade",BP Depot,
No Questions Asked,,Prapor,,,Hand over 2 found in raid Red Rebel ice picks to Prapor,"+11,200 EXP | 1× TKPD 9.3x64 carbine (variant Assault) | 1× 9.3x64mm 7N33 ammo pack (20 pcs) | Unlocks barter for TKPD 9.3x64 carbine (variant Assault) at Prapor LL4 | Unlocks purchase of 9.3x64mm FMJ at Prapor LL4 | Unlocks purchase of TKPD 9.3x64 457mm barrel at Prapor LL4",The Punisher - Part 6,
Shipping Delay - Part 1,Woods,Prapor,,,Hand over the package from the depot on Woods,"+11,000 EXP | Prapor Rep +0.02 | 57,000 Roubles 59,850 Roubles with Intelligence Center Level 1 65,550 Roubles with Intelligence Center Level 2 | 3× 7.62x54mm R PS gzh ammo pack (20 pcs) | 3× 5.45x39mm 7N40 ammo pack (30 pcs)",A Helping Hand,
Forge a Friendship,Shoreline,Prapor,,,Locate and obtain Prapor's cargo on Shoreline | Hand over the found cargo,"+18,800 EXP | Prapor Rep +0.02 | 95,000 Roubles 99,750 Roubles with Intelligence Center Level 1 109,250 Roubles with Intelligence Center Level 2 | 1× Kalashnikov AK-12 5.45x39 assault rifle | 3× AK-74 5.45x39 6L26 45-round magazine | 2× 5.45x39mm BP gs ammo pack (120 pcs)",Hot Wheels | Natural Exchange,Half Empty
Half Empty,,Prapor,,,Hand over 5 found in raid military electronic items | Hand over 10 found in raid PC component items,"+14,900 EXP | Prapor Rep +0.02 | 123,000 Roubles 129,150 Roubles with Intelligence Center Level 1 141,450 Roubles with Intelligence Center Level 2 | 2× Altyn bulletproof helmet (Olive Drab) | 2× Altyn helmet face shield",Forge a Friendship,Stick in the Wheel
Stick in the Wheel,,Prapor,,,Eliminate any 30 targets on any location,"+21,500 EXP | Prapor Rep +0.03 | 112,000 Roubles 117,600 Roubles with Intelligence Center Level 1 128,800 Roubles with Intelligence Center Level 2 | 1× AS VAL 9x39 special assault rifle | 3× VSS/VAL 9x39 6L25 20-round magazine (Plum) | 4× 9x39mm PAB-9 gs ammo pack (20 pcs)",Half Empty,Battery Change
Shortage,,Therapist,,,Find 3 Salewa first aid kit in raid | Hand over the 3 first aid kits,"+2,000 EXP | Therapist Rep +0.03 | 15,000 Roubles 15,750 Roubles with Intelligence Center Level 1 17,250 Roubles with Intelligence Center Level 2 | 2× Car first aid kit | 4× Analgin painkillers | 4× Immobilizing splint",First in Line,Sanitary Standards - Part 1 | Operation Aquarius - Part 1
Sanitary Standards - Part 1,,Therapist,,Must be level 4 to start this quest.,Find 1 Gas analyzer in raid | Hand over the 1 Gas analyzer to Therapist,"+2,200 EXP | Therapist Rep +0.03 | 14,000 Roubles 14,700 Roubles with Intelligence Center Level 1 16,100 Roubles with Intelligence Center Level 2 | 2× Car first aid kit | Unlocks purchase of Car first aid kit at Therapist LL1",Shortage,Sanitary Standards - Part 2
Sanitary Standards - Part 2,,Therapist,,Must be level 8 to start this quest.,Find 2 Gas analyzers in raid | Hand over the 2 Gas analyzers to Therapist,"+4,500 EXP | Therapist Rep +0.03 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 1× Propital regenerative stimulant injector",Sanitary Standards - Part 1,Painkiller
Operation Aquarius - Part 1,Customs,Therapist,,Must be level 6 to start this quest.,Locate the water hidden inside of the dorms on Customs | Survive and extract from the location,"+3,300 EXP | Therapist Rep +0.03 | Skier Rep -0.02 | 14,000 Roubles 14,700 Roubles with Intelligence Center Level 1 16,100 Roubles with Intelligence Center Level 2 | 5× Bottle of water (0.6L) | 1× Water filter",Shortage,Operation Aquarius - Part 2
Operation Aquarius - Part 2,Customs,Therapist,,Must be level 6 to start this quest.,Eliminate 15 Scavs on Customs,"+3,400 EXP | Therapist Rep +0.03 | Jaeger Rep +0.01 | 20,000 Roubles 21,000 Roubles with Intelligence Center Level 1 23,000 Roubles with Intelligence Center Level 2 | 3× Esmarch tourniquet | 1× Aluminum splint | Unlocks purchase of Army bandage at Therapist LL2",Operation Aquarius - Part 1,
Painkiller,,Therapist,,Must be level 8 to start this quest.,Find 4 Morphine injectors in raid | Hand over the 4 injectors to Therapist,"+4,500 EXP | Therapist Rep +0.03 | 17,000 Roubles 17,850 Roubles with Intelligence Center Level 1 19,550 Roubles with Intelligence Center Level 2 | 5× Disposable syringe | 1× Silicone tube | 2× Analgin painkillers | 2× Pile of meds",Sanitary Standards - Part 2,Pharmacist
Pharmacist,Customs,Therapist,,Must be level 10 to start this quest.,Obtain the case containing the device on Customs ( Optional ) Locate the paramedic's car on Customs ( Optional ) Get into two-story dorm room 114 on Customs | Hand over the case,"+5,700 EXP | Therapist Rep +0.04 | 25,000 Roubles 26,250 Roubles with Intelligence Center Level 1 28,750 Roubles with Intelligence Center Level 2 | 1× AFAK tactical individual first aid kit | 3× Pile of meds | Unlocks barter for 6B47 Ratnik-BSh helmet (EMR cover) at Ragman LL2",Painkiller,General Wares | Health Care Privacy - Part 1 | Car Repair | Disease History | Population Census | Supply Plans | Kind of Sabotage
Supply Plans,Woods,Therapist,,Must be level 13 to start this quest.,Obtain the Secure Folder 0052 in the sawmill cabin on Woods | Hand over the folder,"+7,500 EXP | Therapist Rep +0.04 | 75,000 Roubles 78,750 Roubles with Intelligence Center Level 1 86,250 Roubles with Intelligence Center Level 2 | 1× CMS surgical kit",Pharmacist,Dangerous Road | The Huntsman Path - Woods Keeper
General Wares,,Therapist,,,Find 15 Cans of beef stew (Small) in raid | Hand over 15 cans to Therapist,"+4,800 EXP | Therapist Rep +0.03 | 30,000 Roubles 31,500 Roubles with Intelligence Center Level 1 34,500 Roubles with Intelligence Center Level 2 | 4× Can of pacific saury | 2× Iskra ration pack | 2× Can of Majaica coffee beans",Pharmacist,Colleagues - Part 1
Car Repair,,Therapist,,,Find 4 Car batteries in raid | Find 8 Spark plugs in raid | Hand over the 4 batteries to Therapist | Hand over the 8 spark plugs to Therapist,"+6,900 EXP | Therapist Rep +0.04 | 1,500 Dollars 1,575 Dollars with Intelligence Center Level 1 1,725 Dollars with Intelligence Center Level 2 | 1× Grizzly medical kit | 1× eTG-change regenerative stimulant injector | 1× Adrenaline injector",Pharmacist,
Health Care Privacy - Part 1,Shoreline,Therapist,,Must be level 20 to start this quest.,Locate and mark the first ambulance with an MS2000 Marker on Shoreline | Locate and mark the second ambulance with an MS2000 Marker on Shoreline | Locate and mark the third ambulance with an MS2000 Marker on Shoreline,"+4,800 EXP | Therapist Rep +0.03 | 22,000 Roubles 23,100 Roubles with Intelligence Center Level 1 25,300 Roubles with Intelligence Center Level 2 | 2× IFAK individual first aid kit | Unlocks purchase of IFAK individual first aid kit at Therapist LL3",Pharmacist,Health Care Privacy - Part 2
Health Care Privacy - Part 2,Shoreline,Therapist,,,Search the room in the Health Resort for any documents about TerraGroup's research on Shoreline | Hand over the retrieved information | Survive and extract from the location,"+5,900 EXP | Therapist Rep +0.04 | 24,000 Roubles 25,200 Roubles with Intelligence Center Level 1 27,600 Roubles with Intelligence Center Level 2 | 4× Salewa first aid kit",Health Care Privacy - Part 1,Health Care Privacy - Part 3 | Lost Contact
Health Care Privacy - Part 3,Woods,Therapist,,,Locate the van of the Health Resort medical services director on Woods | Take a sample of the blood | Hand over the blood sample | Survive and extract from the location,"+5,900 EXP | Therapist Rep +0.04 | 26,000 Roubles 27,300 Roubles with Intelligence Center Level 1 29,900 Roubles with Intelligence Center Level 2 | 2× Morphine injector | 2× Adrenaline injector | Unlocks purchase of Morphine injector at Therapist LL4",Health Care Privacy - Part 2,Health Care Privacy - Part 4
Health Care Privacy - Part 4,,Therapist,,,Reach the required 4 Health skill level,"+6,000 EXP | Therapist Rep +0.04 | 29,000 Roubles 30,450 Roubles with Intelligence Center Level 1 33,350 Roubles with Intelligence Center Level 2 | 2× Grizzly medical kit | 2× Bottle of saline solution",Health Care Privacy - Part 3,Health Care Privacy - Part 5 | Private Clinic | Athlete | An Apple a Day Keeps the Doctor Away
Health Care Privacy - Part 5,Nighttime Factory,Therapist,,,"Locate the drop spot on night-time Factory | Obtain 3 packs of Gunpowder ""Kite"" and stash them in the designated spot","+7,300 EXP | Therapist Rep +0.04 | 35,000 Roubles 36,750 Roubles with Intelligence Center Level 1 40,250 Roubles with Intelligence Center Level 2 | 1× Medicine case",Health Care Privacy - Part 4,Decontamination Service | Health Care Privacy - Part 6
Health Care Privacy - Part 6,Factory,Therapist,,,Locate the dead worker and take their blood sample on Factory | Hand over the blood sample,"+9,300 EXP | Therapist Rep +0.02 | 32,000 Roubles 33,600 Roubles with Intelligence Center Level 1 36,800 Roubles with Intelligence Center Level 2 | 3× Ibuprofen painkillers",Health Care Privacy - Part 5,
Postman Pat - Part 2,Factory,Therapist,,,Hand over the letter from Prapor 's messenger,"+3,500 EXP | Therapist Rep +0.02 | 5,000 Roubles 5,250 Roubles with Intelligence Center Level 1 5,750 Roubles with Intelligence Center Level 2 | Unlocks purchase of Salewa first aid kit at Therapist LL1",Postman Pat - Part 1,
Out of Curiosity,Customs,Therapist,,Must accept Skier 's quest Chemical - Part 4 to obtain this quest.,Locate the transport with the chemicals on Customs | Mark the vehicle with an MS2000 Marker,"+7,700 EXP | Therapist Rep +0.04 | 170,000 Roubles 178,500 Roubles with Intelligence Center Level 1 195,500 Roubles with Intelligence Center Level 2 | 1× Injector case",Chemical - Part 3,Loyalty Buyout | No Offence | Safe Corridor
Trust Regain,,Therapist,,,Obtain 1 Dorm room 303 key | Obtain 1 ZB-014 key | Obtain 1 Military checkpoint key | Obtain 1 Gas station storage room key | Hand over 1 Dorm room 303 key | Hand over 1 ZB-014 key | Hand over 1 Customs military checkpoint key | Hand over 1 Gas station storage room key,Therapist Rep +0.25,Chemical - Part 4 | Big Customer,
Athlete,,Therapist,,Must be level 30 to start this quest.,Reach the required 10 Health skill level,"+3,500 EXP | Therapist Rep +0.04 | 110,000 Roubles 115,500 Roubles with Intelligence Center Level 1 126,500 Roubles with Intelligence Center Level 2 | 1× Dundukk sport sunglasses | 3× Zagustin hemostatic drug injector | 3× Adrenaline injector | Unlocks purchase of Adrenaline injector at Therapist LL4",Health Care Privacy - Part 4,Crisis
Decontamination Service,Interchange,Therapist,,,Eliminate 40 Scavs from less than 60 meters away while wearing specific gear on Interchange,"+12,500 EXP | Therapist Rep +0.05 | Jaeger Rep +0.01 | 300,000 Roubles 315,000 Roubles with Intelligence Center Level 1 345,000 Roubles with Intelligence Center Level 2 | 3× Morphine injector | 3× IFAK individual first aid kit | 3× GP-7 gas mask",Health Care Privacy - Part 5 | Private Clinic,
Private Clinic,,Therapist,,Must be level 35 to start this quest.,Find 1 Ophthalmoscope in raid | Find 1 LEDX Skin Transilluminator in raid | Hand over the 1 Ophthalmoscope | Hand over the 1 LEDX Skin Transilluminator,"+30,600 EXP | Therapist Rep +0.05 | 130,000 Roubles 136,500 Roubles with Intelligence Center Level 2 149,500 Roubles with Intelligence Center Level 3 | 1× T H I C C item case | 1× Health Resort east wing room 306 key",Health Care Privacy - Part 4,Decontamination Service
An Apple a Day Keeps the Doctor Away,,Therapist,,,"Hand over 400,000 RUB to Therapist",+2 Health skill levels,Health Care Privacy - Part 4,
Colleagues - Part 1,Shoreline,Therapist,,Must be level 21 to start this quest.,Locate the group that was sent to the Health Resort on Shoreline | Locate the group that was sent to the pier on Shoreline | Locate the group that was sent to the cottages on Shoreline | Survive and extract from the location,"+12,300 EXP | Therapist Rep +0.04 | 45,000 Roubles 47,250 Roubles with Intelligence Center Level 1 51,750 Roubles with Intelligence Center Level 2 | 2× SJ1 TGLabs combat stimulant injector | 2× SJ6 TGLabs combat stimulant injector",General Wares,Colleagues - Part 2 | Chemistry Closet
Colleagues - Part 2,Shoreline,Therapist,,,Locate and obtain Sanitar's surgery kit marked with a blue symbol on Shoreline | Hand over Sanitar's surgery kit to Therapist | Locate and obtain Sanitar's ophthalmoscope on Shoreline | Hand over Sanitar's ophthalmoscope to Therapist,"+12,400 EXP | Therapist Rep +0.04 | 60,000 Roubles 63,000 Roubles with Intelligence Center Level 1 69,000 Roubles with Intelligence Center Level 2 | 1× Surv12 field surgical kit | 1× P22 (Product 22) stimulant injector",Colleagues - Part 1,The Huntsman Path - Sadist | Colleagues - Part 3
Colleagues - Part 3,Any,Therapist,,Must accept Jaeger 's quest The Huntsman Path - Sadist to obtain this quest.,Do not kill Sanitar | Find 10 TerraGroup Labs access keycards in raid | Hand over the keycards | Find AHF1-M stimulant injector in raid | Hand over the injector | Find 3-(b-TG) stimulant injector in raid | Hand over the injector,"+15,800 EXP | Therapist Rep +0.04 | Fence Rep +0.25 | 150,000 Roubles 157,500 Roubles with Intelligence Center Level 1 172,500 Roubles with Intelligence Center Level 2 | 1× TerraGroup Labs keycard (Black) | 1× Medicine case | 3× L1 (Norepinephrine) injector | 3× Meldonin injector | 5× Obdolbos 2 cocktail injector | 4× Grizzly medical kit",Colleagues - Part 2 | Rigged Game | Chemistry Closet,TerraGroup Employee | Swift One | The Huntsman Path - Relentless
